Date,ALBK,PNB
2018-06-18,44.75,88.5
2018-06-19,44.3,86.8
2018-06-20,44.7,86.2
2018-06-21,43.55,83.4
2018-06-22,44.9,81.9
2018-06-25,41.25,79.8
2018-06-26,41.55,79.85
2018-06-27,41.2,76.75
2018-06-28,40.95,72.8
2018-06-29,41.8,76.15
2018-07-02,41.8,78.15
2018-07-03,41.2,77.15
2018-07-04,40.9,76.1
2018-07-05,41.35,75.55
2018-07-06,42.5,76.95
2018-07-09,42.65,77.8
2018-07-10,43.05,77.85
2018-07-11,42.15,75.55
2018-07-12,42.0,76.1
2018-07-13,40.6,73.85
2018-07-16,39.65,73.85
2018-07-17,42.2,78.7
2018-07-18,41.05,75.2
2018-07-19,41.15,75.3
2018-07-20,40.9,75.55
2018-07-23,41.5,78.95
2018-07-24,43.1,79.3
2018-07-25,42.85,79.25
2018-07-26,44.4,80.85
2018-07-27,45.15,82.0
2018-07-30,46.3,85.9
2018-07-31,45.6,85.1
2018-08-01,45.6,87.4
2018-08-02,44.9,85.15
2018-08-03,45.4,88.15
2018-08-06,46.3,90.05
2018-08-07,44.9,82.85
2018-08-08,44.0,80.45
2018-08-09,45.8,83.4
2018-08-10,44.8,83.25
2018-08-13,42.75,80.4
2018-08-14,39.95,79.9
2018-08-16,39.55,81.55
2018-08-17,40.2,83.45
2018-08-20,40.8,84.2
2018-08-21,40.8,83.65
2018-08-23,40.3,84.5
2018-08-24,40.3,85.8
2018-08-27,40.7,85.25
2018-08-28,40.45,82.9
2018-08-29,40.45,84.15
2018-08-30,41.85,85.1
2018-08-31,42.65,88.15
2018-09-03,42.8,86.35
2018-09-04,41.1,83.15
2018-09-05,40.9,83.1
2018-09-06,40.4,83.25
2018-09-07,40.55,84.4
2018-09-10,40.1,82.7
2018-09-11,40.85,81.7
2018-09-12,39.85,81.15
2018-09-14,40.65,82.8
2018-09-17,40.8,83.0
2018-09-18,39.85,79.3
2018-09-19,39.55,79.25
2018-09-21,37.85,72.85
2018-09-24,36.7,69.2
2018-09-25,37.75,66.95
2018-09-26,37.35,67.05
2018-09-27,36.45,62.5
2018-09-28,35.5,59.7
2018-10-01,36.1,63.2
2018-10-03,36.9,64.65
2018-10-04,36.05,64.8
2018-10-05,35.35,63.85
2018-10-08,34.05,62.85
2018-10-09,33.85,62.65
2018-10-10,36.1,66.3
2018-10-11,35.4,64.3
2018-10-12,36.35,66.5
2018-10-15,37.7,67.55
2018-10-16,38.4,69.95
2018-10-17,37.85,66.5
2018-10-19,37.05,66.0
2018-10-22,36.75,65.7
2018-10-23,35.9,64.75
2018-10-24,37.3,65.8
2018-10-25,37.15,65.65
2018-10-26,37.05,66.15
2018-10-29,40.65,70.9
2018-10-30,41.75,72.55
2018-10-31,44.2,73.65
2018-11-01,43.3,74.3
2018-11-02,42.9,69.05
2018-11-05,43.7,70.4
2018-11-06,43.55,70.6
2018-11-07,43.8,70.95
2018-11-09,43.95,71.65
2018-11-12,41.65,70.5
2018-11-13,37.4,70.0
2018-11-14,38.7,70.75
2018-11-15,42.2,71.15
2018-11-16,43.35,73.2
2018-11-19,43.55,73.3
2018-11-20,44.65,71.3
2018-11-21,44.95,72.7
2018-11-22,45.15,71.7
2018-11-26,45.5,71.25
2018-11-27,47.5,72.45
2018-11-28,47.1,69.6
2018-11-29,47.35,69.65
2018-11-30,48.55,69.9
2018-12-03,48.85,71.45
2018-12-04,47.35,69.55
2018-12-05,45.7,68.95
2018-12-06,44.85,66.1
2018-12-07,43.1,66.0
2018-12-10,44.2,64.85
2018-12-11,44.3,68.7
2018-12-12,46.3,70.8
2018-12-13,46.3,71.35
2018-12-14,46.55,72.65
2018-12-17,45.8,72.85
2018-12-18,46.4,74.25
2018-12-19,48.4,76.95
2018-12-20,46.5,76.1
2018-12-21,46.65,76.35
2018-12-24,45.8,76.7
2018-12-26,46.05,77.75
2018-12-27,46.45,77.95
2018-12-28,46.85,78.45
2018-12-31,46.1,78.1
2019-01-01,46.7,79.8
2019-01-02,45.0,77.85
2019-01-03,44.7,77.85
2019-01-04,46.7,81.3
2019-01-07,46.15,80.55
2019-01-08,47.55,81.7
2019-01-09,46.1,80.7
2019-01-10,45.85,81.25
2019-01-11,44.55,80.65
2019-01-14,44.45,82.5
2019-01-15,43.95,81.95
2019-01-16,44.45,84.25
2019-01-17,44.45,84.55
2019-01-18,43.8,82.85
2019-01-21,42.65,80.25
2019-01-22,42.45,78.6
2019-01-23,42.05,77.75
2019-01-24,43.15,78.1
2019-01-25,43.4,76.6
2019-01-28,42.3,76.1
2019-01-29,43.9,77.3
2019-01-30,44.9,77.25
2019-01-31,45.15,77.5
2019-02-01,44.4,73.9
2019-02-04,43.55,73.15
2019-02-05,42.45,73.4
2019-02-06,42.35,75.2
2019-02-07,42.6,75.65
2019-02-08,41.05,71.2
2019-02-11,39.85,70.85
2019-02-12,39.25,71.35
2019-02-13,41.65,69.45
2019-02-14,43.8,72.25
2019-02-15,42.0,70.05
2019-02-18,41.45,69.0
2019-02-19,41.55,69.95
2019-02-20,44.2,71.1
2019-02-21,46.3,73.15
2019-02-22,45.85,73.2
2019-02-25,45.05,73.5
2019-02-26,44.0,71.85
2019-02-27,47.4,71.5
2019-02-28,48.0,72.3
2019-03-01,50.3,76.65
2019-03-05,52.3,82.65
2019-03-06,51.45,82.4
2019-03-07,54.85,85.45
2019-03-08,57.6,83.8
2019-03-11,57.85,85.85
2019-03-12,55.6,85.4
2019-03-13,54.4,84.85
2019-03-14,55.2,84.45
2019-03-15,55.5,86.05
2019-03-18,55.75,86.65
2019-03-19,56.2,90.5
2019-03-20,55.45,93.55
2019-03-22,54.4,91.55
2019-03-25,52.55,90.3
2019-03-26,50.95,92.5
2019-03-27,52.35,93.4
2019-03-28,54.9,95.35
2019-03-29,54.6,95.5
2019-04-01,54.45,97.5
2019-04-02,55.2,98.3
2019-04-03,53.4,94.45
2019-04-04,53.5,93.65
2019-04-05,53.35,93.1
2019-04-08,52.3,93.1
2019-04-09,53.25,94.35
2019-04-10,53.25,93.35
2019-04-11,53.7,92.7
2019-04-12,54.3,93.35
2019-04-15,53.7,93.85
2019-04-16,51.85,92.8
2019-04-18,51.05,90.05
2019-04-22,48.65,86.65
2019-04-23,49.35,87.2
2019-04-24,49.85,88.35
2019-04-25,49.65,86.75
2019-04-26,49.15,88.15
2019-04-29,48.95,88.25
