Date,BANKBARODA,SYNDIBANK
2018-06-18,130.4,48.65
2018-06-19,127.85,47.55
2018-06-20,125.1,47.55
2018-06-21,122.0,45.65
2018-06-22,121.5,46.8
2018-06-25,116.8,45.4
2018-06-26,118.05,43.75
2018-06-27,115.15,41.0
2018-06-28,113.0,39.2
2018-06-29,112.65,40.95
2018-07-02,113.65,41.0
2018-07-03,113.0,40.6
2018-07-04,113.1,40.2
2018-07-05,113.25,39.7
2018-07-06,115.55,40.65
2018-07-09,117.0,42.0
2018-07-10,119.5,41.95
2018-07-11,116.2,40.8
2018-07-12,119.45,40.25
2018-07-13,117.4,39.4
2018-07-16,113.05,37.75
2018-07-17,120.8,39.7
2018-07-18,117.65,38.85
2018-07-19,120.05,39.0
2018-07-20,120.25,38.8
2018-07-23,126.3,39.5
2018-07-24,132.55,40.75
2018-07-25,131.8,40.8
2018-07-26,138.85,43.2
2018-07-27,137.85,43.8
2018-07-30,152.05,45.9
2018-07-31,153.35,45.2
2018-08-01,150.2,45.4
2018-08-02,147.25,44.9
2018-08-03,149.6,45.2
2018-08-06,150.55,44.1
2018-08-07,146.15,41.9
2018-08-08,148.6,41.35
2018-08-09,154.75,42.5
2018-08-10,148.3,41.3
2018-08-13,145.65,39.55
2018-08-14,146.3,38.6
2018-08-16,142.7,37.8
2018-08-17,146.2,38.65
2018-08-20,151.0,39.2
2018-08-21,150.9,39.9
2018-08-23,149.85,39.75
2018-08-24,147.4,39.55
2018-08-27,150.05,39.75
2018-08-28,143.85,38.8
2018-08-29,147.7,39.3
2018-08-30,150.15,40.6
2018-08-31,152.95,40.3
2018-09-03,151.7,41.15
2018-09-04,145.55,38.6
2018-09-05,144.55,38.15
2018-09-06,146.1,37.95
2018-09-07,148.05,38.1
2018-09-10,146.6,36.9
2018-09-11,140.5,36.7
2018-09-12,133.55,36.6
2018-09-14,134.4,38.2
2018-09-17,135.25,39.35
2018-09-18,113.1,37.0
2018-09-19,116.35,36.8
2018-09-21,111.45,34.4
2018-09-24,107.7,33.5
2018-09-25,109.45,33.45
2018-09-26,109.15,33.35
2018-09-27,104.35,32.05
2018-09-28,99.5,30.9
2018-10-01,104.4,31.65
2018-10-03,103.3,32.4
2018-10-04,103.35,32.2
2018-10-05,99.1,31.1
2018-10-08,97.5,30.25
2018-10-09,93.25,29.8
2018-10-10,95.6,31.75
2018-10-11,93.95,30.7
2018-10-12,96.5,31.5
2018-10-15,97.35,32.45
2018-10-16,100.25,33.15
2018-10-17,99.6,32.35
2018-10-19,102.4,31.85
2018-10-22,102.6,31.7
2018-10-23,101.7,31.1
2018-10-24,102.65,31.65
2018-10-25,98.45,31.25
2018-10-26,98.85,31.2
2018-10-29,107.1,33.5
2018-10-30,110.0,35.0
2018-10-31,110.65,34.8
2018-11-01,107.7,34.85
2018-11-02,109.9,34.35
2018-11-05,111.2,34.6
2018-11-06,110.45,34.7
2018-11-07,110.95,34.85
2018-11-09,111.5,35.7
2018-11-12,109.4,34.65
2018-11-13,108.7,34.35
2018-11-14,112.75,34.5
2018-11-15,112.8,35.2
2018-11-16,115.2,35.6
2018-11-19,115.35,36.0
2018-11-20,110.2,35.35
2018-11-21,112.2,35.65
2018-11-22,109.9,35.4
2018-11-26,108.9,35.05
2018-11-27,108.95,35.5
2018-11-28,104.75,34.9
2018-11-29,105.0,34.9
2018-11-30,105.05,34.85
2018-12-03,106.95,35.1
2018-12-04,107.85,34.6
2018-12-05,107.45,33.65
2018-12-06,105.25,32.25
2018-12-07,106.4,31.5
2018-12-10,105.95,30.9
2018-12-11,109.05,31.4
2018-12-12,113.4,33.8
2018-12-13,111.85,33.95
2018-12-14,111.4,34.45
2018-12-17,111.8,34.3
2018-12-18,112.45,35.4
2018-12-19,115.6,37.6
2018-12-20,114.9,37.45
2018-12-21,115.1,37.75
2018-12-24,115.4,37.65
2018-12-26,117.7,37.85
2018-12-27,116.4,38.05
2018-12-28,118.35,39.5
2018-12-31,118.8,39.3
2019-01-01,123.3,39.8
2019-01-02,119.35,39.15
2019-01-03,119.3,38.8
2019-01-04,121.7,40.6
2019-01-07,122.7,39.75
2019-01-08,123.85,41.6
2019-01-09,122.95,40.7
2019-01-10,123.45,40.45
2019-01-11,121.15,39.55
2019-01-14,120.95,39.55
2019-01-15,121.1,39.2
2019-01-16,121.0,39.8
2019-01-17,119.2,39.55
2019-01-18,118.0,37.8
2019-01-21,116.45,37.15
2019-01-22,113.8,36.9
2019-01-23,111.3,35.75
2019-01-24,113.0,35.55
2019-01-25,110.2,34.9
2019-01-28,109.15,34.55
2019-01-29,113.75,35.3
2019-01-30,113.7,36.55
2019-01-31,112.45,36.9
2019-02-01,111.1,37.3
2019-02-04,110.3,36.65
2019-02-05,107.95,35.65
2019-02-06,109.2,35.45
2019-02-07,108.9,35.6
2019-02-08,104.9,33.4
2019-02-11,103.9,32.55
2019-02-12,102.65,32.35
2019-02-13,102.4,31.6
2019-02-14,103.65,32.35
2019-02-15,100.85,31.25
2019-02-18,99.15,30.95
2019-02-19,102.45,31.4
2019-02-20,102.95,32.1
2019-02-21,103.0,33.2
2019-02-22,102.8,33.35
2019-02-25,102.9,33.1
2019-02-26,101.5,32.65
2019-02-27,101.0,33.0
2019-02-28,101.0,33.45
2019-03-01,108.1,35.7
2019-03-05,112.55,37.25
2019-03-06,112.1,36.75
2019-03-07,115.2,37.5
2019-03-08,113.6,37.05
2019-03-11,116.05,38.6
2019-03-12,115.35,38.4
2019-03-13,115.55,38.95
2019-03-14,116.55,38.9
2019-03-15,118.15,38.45
2019-03-18,120.55,39.45
2019-03-19,124.4,39.95
2019-03-20,125.2,40.05
2019-03-22,120.1,38.6
2019-03-25,118.2,38.6
2019-03-26,120.8,40.15
2019-03-27,121.55,40.6
2019-03-28,130.1,42.9
2019-03-29,128.65,43.2
2019-04-01,132.7,44.35
2019-04-02,133.2,45.2
2019-04-03,132.05,43.05
2019-04-04,131.2,43.25
2019-04-05,130.6,42.45
2019-04-08,130.0,41.7
2019-04-09,132.05,42.6
2019-04-10,129.7,41.85
2019-04-11,128.7,41.6
2019-04-12,131.15,42.4
2019-04-15,130.75,41.75
2019-04-16,130.9,41.5
2019-04-18,126.55,40.6
2019-04-22,123.8,39.25
2019-04-23,123.1,38.9
2019-04-24,125.1,39.55
2019-04-25,122.0,39.1
2019-04-26,123.25,40.35
2019-04-30,114.8,38.0
