Date,BANKBARODA,UNIONBANK
2018-06-18,130.4,90.55
2018-06-19,127.85,90.1
2018-06-20,125.1,89.0
2018-06-21,122.0,86.0
2018-06-22,121.5,85.75
2018-06-25,116.8,82.4
2018-06-26,118.05,83.45
2018-06-27,115.15,81.35
2018-06-28,113.0,79.8
2018-06-29,112.65,81.95
2018-07-02,113.65,81.2
2018-07-03,113.0,80.75
2018-07-04,113.1,79.75
2018-07-05,113.25,79.45
2018-07-06,115.55,81.3
2018-07-09,117.0,81.3
2018-07-10,119.5,81.65
2018-07-11,116.2,78.65
2018-07-12,119.45,78.45
2018-07-13,117.4,76.6
2018-07-16,113.05,74.4
2018-07-17,120.8,80.7
2018-07-18,117.65,76.2
2018-07-19,120.05,76.5
2018-07-20,120.25,76.75
2018-07-23,126.3,78.95
2018-07-24,132.55,81.25
2018-07-25,131.8,81.85
2018-07-26,138.85,85.05
2018-07-27,137.85,85.05
2018-07-30,152.05,88.15
2018-07-31,153.35,86.45
2018-08-01,150.2,88.05
2018-08-02,147.25,86.85
2018-08-03,149.6,88.35
2018-08-06,150.55,90.6
2018-08-07,146.15,86.5
2018-08-08,148.6,85.05
2018-08-09,154.75,89.15
2018-08-10,148.3,85.55
2018-08-13,145.65,84.55
2018-08-14,146.3,85.35
2018-08-16,142.7,84.4
2018-08-17,146.2,86.6
2018-08-20,151.0,88.6
2018-08-21,150.9,88.35
2018-08-23,149.85,88.75
2018-08-24,147.4,86.65
2018-08-27,150.05,89.8
2018-08-28,143.85,85.6
2018-08-29,147.7,87.95
2018-08-30,150.15,90.5
2018-08-31,152.95,89.75
2018-09-03,151.7,90.25
2018-09-04,145.55,84.75
2018-09-05,144.55,83.25
2018-09-06,146.1,82.95
2018-09-07,148.05,83.55
2018-09-10,146.6,81.5
2018-09-11,140.5,80.75
2018-09-12,133.55,81.2
2018-09-14,134.4,83.85
2018-09-17,135.25,82.3
2018-09-18,113.1,74.85
2018-09-19,116.35,78.45
2018-09-21,111.45,73.8
2018-09-24,107.7,72.3
2018-09-25,109.45,70.15
2018-09-26,109.15,70.6
2018-09-27,104.35,67.6
2018-09-28,99.5,65.75
2018-10-01,104.4,69.2
2018-10-03,103.3,68.55
2018-10-04,103.35,68.05
2018-10-05,99.1,66.0
2018-10-08,97.5,66.4
2018-10-09,93.25,65.75
2018-10-10,95.6,71.7
2018-10-11,93.95,68.55
2018-10-12,96.5,69.1
2018-10-15,97.35,68.95
2018-10-16,100.25,71.05
2018-10-17,99.6,66.85
2018-10-19,102.4,64.5
2018-10-22,102.6,62.7
2018-10-23,101.7,62.65
2018-10-24,102.65,63.4
2018-10-25,98.45,63.65
2018-10-26,98.85,62.15
2018-10-29,107.1,69.7
2018-10-30,110.0,75.8
2018-10-31,110.65,76.65
2018-11-01,107.7,77.35
2018-11-02,109.9,75.75
2018-11-05,111.2,79.45
2018-11-06,110.45,78.95
2018-11-07,110.95,79.3
2018-11-09,111.5,81.85
2018-11-12,109.4,78.55
2018-11-13,108.7,79.9
2018-11-14,112.75,80.65
2018-11-15,112.8,81.6
2018-11-16,115.2,82.6
2018-11-19,115.35,81.75
2018-11-20,110.2,79.95
2018-11-21,112.2,82.15
2018-11-22,109.9,80.3
2018-11-26,108.9,80.05
2018-11-27,108.95,81.7
2018-11-28,104.75,79.4
2018-11-29,105.0,79.8
2018-11-30,105.05,78.55
2018-12-03,106.95,80.75
2018-12-04,107.85,79.05
2018-12-05,107.45,76.15
2018-12-06,105.25,73.55
2018-12-07,106.4,73.0
2018-12-10,105.95,71.55
2018-12-11,109.05,73.4
2018-12-12,113.4,77.05
2018-12-13,111.85,77.2
2018-12-14,111.4,77.8
2018-12-17,111.8,77.85
2018-12-18,112.45,80.45
2018-12-19,115.6,83.1
2018-12-20,114.9,82.45
2018-12-21,115.1,82.4
2018-12-24,115.4,83.05
2018-12-26,117.7,83.5
2018-12-27,116.4,83.9
2018-12-28,118.35,85.95
2018-12-31,118.8,85.9
2019-01-01,123.3,88.3
2019-01-02,119.35,88.2
2019-01-03,119.3,88.75
2019-01-04,121.7,92.25
2019-01-07,122.7,90.6
2019-01-08,123.85,94.55
2019-01-09,122.95,92.0
2019-01-10,123.45,92.8
2019-01-11,121.15,93.65
2019-01-14,120.95,94.25
2019-01-15,121.1,94.15
2019-01-16,121.0,96.2
2019-01-17,119.2,94.85
2019-01-18,118.0,92.5
2019-01-21,116.45,86.3
2019-01-22,113.8,83.95
2019-01-23,111.3,82.75
2019-01-24,113.0,82.5
2019-01-25,110.2,79.45
2019-01-28,109.15,78.4
2019-01-29,113.75,80.05
2019-01-30,113.7,81.2
2019-01-31,112.45,82.75
2019-02-01,111.1,81.45
2019-02-04,110.3,79.45
2019-02-05,107.95,78.15
2019-02-06,109.2,79.4
2019-02-07,108.9,78.8
2019-02-08,104.9,72.5
2019-02-11,103.9,72.15
2019-02-12,102.65,70.4
2019-02-13,102.4,69.4
2019-02-14,103.65,70.95
2019-02-15,100.85,68.65
2019-02-18,99.15,67.95
2019-02-19,102.45,68.5
2019-02-20,102.95,69.65
2019-02-21,103.0,71.55
2019-02-22,102.8,71.2
2019-02-25,102.9,71.25
2019-02-26,101.5,69.7
2019-02-27,101.0,70.1
2019-02-28,101.0,71.65
2019-03-01,108.1,77.15
2019-03-05,112.55,80.65
2019-03-06,112.1,79.25
2019-03-07,115.2,79.95
2019-03-08,113.6,78.1
2019-03-11,116.05,82.7
2019-03-12,115.35,82.7
2019-03-13,115.55,82.6
2019-03-14,116.55,82.8
2019-03-15,118.15,82.9
2019-03-18,120.55,83.75
2019-03-19,124.4,87.65
2019-03-20,125.2,88.45
2019-03-22,120.1,86.85
2019-03-25,118.2,87.4
2019-03-26,120.8,91.55
2019-03-27,121.55,93.8
2019-03-28,130.1,96.95
2019-03-29,128.65,95.6
2019-04-01,132.7,96.4
2019-04-02,133.2,98.8
2019-04-03,132.05,94.8
2019-04-04,131.2,92.35
2019-04-05,130.6,93.0
2019-04-08,130.0,92.25
2019-04-09,132.05,94.7
2019-04-10,129.7,93.6
2019-04-11,128.7,93.25
2019-04-12,131.15,93.5
2019-04-15,130.75,92.7
2019-04-16,130.9,92.3
2019-04-18,126.55,91.0
2019-04-22,123.8,86.85
2019-04-23,123.1,88.1
2019-04-24,125.1,89.1
2019-04-25,122.0,87.65
2019-04-26,123.25,88.05
2019-04-30,115.0,83.6
