Date,IDBI,ANDHRABANK
2018-06-18,59.3,34.85
2018-06-19,58.75,34.1
2018-06-20,58.95,34.25
2018-06-21,57.75,33.85
2018-06-22,58.9,34.35
2018-06-25,58.0,33.3
2018-06-26,54.45,33.3
2018-06-27,50.7,31.8
2018-06-28,49.85,31.4
2018-06-29,54.9,32.7
2018-07-02,56.0,32.65
2018-07-03,52.45,32.2
2018-07-04,51.75,31.95
2018-07-05,48.1,31.4
2018-07-06,48.25,32.35
2018-07-09,48.8,32.5
2018-07-10,53.35,33.3
2018-07-11,57.0,31.85
2018-07-12,56.15,31.55
2018-07-13,57.3,30.65
2018-07-16,56.45,29.55
2018-07-17,58.15,30.95
2018-07-18,56.65,30.6
2018-07-19,56.85,30.15
2018-07-20,58.0,30.8
2018-07-23,57.6,31.3
2018-07-24,59.5,32.0
2018-07-25,58.9,31.95
2018-07-26,58.8,32.7
2018-07-27,60.1,33.3
2018-07-30,59.8,35.65
2018-07-31,58.85,35.15
2018-08-01,62.15,35.3
2018-08-02,62.25,35.1
2018-08-03,61.85,35.65
2018-08-06,63.2,36.0
2018-08-07,61.9,34.0
2018-08-08,62.25,33.6
2018-08-09,63.1,34.55
2018-08-10,61.85,34.05
2018-08-13,60.45,32.6
2018-08-14,60.35,32.2
2018-08-16,61.4,31.55
2018-08-17,62.3,32.25
2018-08-20,62.5,32.8
2018-08-21,63.4,32.95
2018-08-23,62.1,32.95
2018-08-24,61.45,32.55
2018-08-27,61.3,32.8
2018-08-28,60.85,32.1
2018-08-29,60.95,32.3
2018-08-30,60.95,33.5
2018-08-31,62.7,33.9
2018-09-03,61.15,34.5
2018-09-04,59.75,32.5
2018-09-05,59.3,31.15
2018-09-06,59.15,30.65
2018-09-07,59.85,31.15
2018-09-10,57.85,30.9
2018-09-11,57.4,30.9
2018-09-12,57.7,30.85
2018-09-14,58.5,31.7
2018-09-17,58.15,32.55
2018-09-18,56.25,30.9
2018-09-19,57.0,30.95
2018-09-21,56.0,29.45
2018-09-24,52.7,28.9
2018-09-25,51.9,30.6
2018-09-26,52.5,30.25
2018-09-27,48.85,27.8
2018-09-28,50.2,27.4
2018-10-01,54.1,27.5
2018-10-03,55.65,27.45
2018-10-04,56.95,27.35
2018-10-05,57.4,26.85
2018-10-08,58.65,26.6
2018-10-09,58.8,25.95
2018-10-10,59.0,26.6
2018-10-11,58.8,25.85
2018-10-12,59.05,26.15
2018-10-15,59.35,26.4
2018-10-16,59.5,27.0
2018-10-17,59.2,26.4
2018-10-19,59.35,26.2
2018-10-22,59.25,25.95
2018-10-23,59.15,26.1
2018-10-24,59.15,26.1
2018-10-25,58.9,25.8
2018-10-26,59.45,25.55
2018-10-29,59.6,26.55
2018-10-30,59.7,27.8
2018-10-31,59.2,29.25
2018-11-01,59.35,29.3
2018-11-02,59.15,28.65
2018-11-05,59.75,28.55
2018-11-06,59.3,29.7
2018-11-07,59.55,30.15
2018-11-09,61.2,30.1
2018-11-12,60.4,29.3
2018-11-13,59.95,28.7
2018-11-14,60.6,28.55
2018-11-15,60.75,28.35
2018-11-16,60.9,28.8
2018-11-19,60.75,28.9
2018-11-20,60.25,28.6
2018-11-21,60.3,28.9
2018-11-22,59.95,28.45
2018-11-26,60.15,28.35
2018-11-27,60.2,28.45
2018-11-28,59.9,28.25
2018-11-29,60.0,28.15
2018-11-30,59.5,28.45
2018-12-03,59.4,28.45
2018-12-04,59.8,28.15
2018-12-05,60.7,27.95
2018-12-06,60.25,27.25
2018-12-07,60.25,27.0
2018-12-10,60.15,26.25
2018-12-11,60.85,26.9
2018-12-12,61.2,28.3
2018-12-13,61.55,28.6
2018-12-14,61.05,28.6
2018-12-17,61.15,28.45
2018-12-18,61.8,28.55
2018-12-19,62.0,29.4
2018-12-20,61.5,29.35
2018-12-21,61.85,29.45
2018-12-24,61.3,29.3
2018-12-26,61.2,29.25
2018-12-27,61.15,29.35
2018-12-28,61.45,29.5
2018-12-31,61.25,29.4
2019-01-01,61.45,29.75
2019-01-02,61.35,29.65
2019-01-03,61.35,28.95
2019-01-04,61.45,29.85
2019-01-07,61.3,29.85
2019-01-08,61.9,30.25
2019-01-09,64.65,29.9
2019-01-10,62.7,29.6
2019-01-11,63.35,29.45
2019-01-14,62.7,29.35
2019-01-15,61.75,28.85
2019-01-16,61.95,29.2
2019-01-17,60.7,28.75
2019-01-18,58.2,28.6
2019-01-21,56.35,28.05
2019-01-22,57.1,27.6
2019-01-23,56.6,27.05
2019-01-24,56.05,26.95
2019-01-25,54.9,26.55
2019-01-28,53.6,26.15
2019-01-29,56.25,25.95
2019-01-30,54.4,25.9
2019-01-31,55.4,25.25
2019-02-01,52.75,25.45
2019-02-04,50.5,25.0
2019-02-05,47.05,24.4
2019-02-06,43.9,24.25
2019-02-07,43.95,24.45
2019-02-08,43.2,24.1
2019-02-11,43.1,23.8
2019-02-12,43.3,23.3
2019-02-13,43.2,23.3
2019-02-14,45.2,23.7
2019-02-15,44.95,23.2
2019-02-18,42.2,23.3
2019-02-19,42.4,23.4
2019-02-20,43.75,24.0
2019-02-21,45.0,25.4
2019-02-22,43.1,25.1
2019-02-25,42.95,25.05
2019-02-26,42.25,24.45
2019-02-27,41.65,24.6
2019-02-28,42.85,24.55
2019-03-01,44.35,25.45
2019-03-05,46.25,26.25
2019-03-06,45.7,26.4
2019-03-07,44.05,26.7
2019-03-08,43.35,26.65
2019-03-11,44.85,27.0
2019-03-12,44.75,27.0
2019-03-13,43.1,26.6
2019-03-14,43.0,26.4
2019-03-15,42.8,25.8
2019-03-18,43.35,25.9
2019-03-19,43.3,26.3
2019-03-20,43.05,26.2
2019-03-22,42.65,25.9
2019-03-25,41.95,25.4
2019-03-26,42.4,25.7
2019-03-27,42.4,27.1
2019-03-28,44.6,27.95
2019-03-29,46.65,28.05
2019-04-01,46.25,32.2
2019-04-02,45.85,31.85
2019-04-03,44.4,31.05
2019-04-04,44.25,30.75
2019-04-05,44.7,30.3
2019-04-08,44.15,29.8
2019-04-09,43.85,29.55
2019-04-10,43.95,29.25
2019-04-11,43.8,28.9
2019-04-12,44.0,28.95
2019-04-15,43.95,29.05
2019-04-16,43.95,28.8
2019-04-18,43.3,28.35
2019-04-22,42.7,27.7
