Date,IDBI,SYNDIBANK
2018-06-18,59.3,48.65
2018-06-19,58.75,47.55
2018-06-20,58.95,47.55
2018-06-21,57.75,45.65
2018-06-22,58.9,46.8
2018-06-25,58.0,45.4
2018-06-26,54.45,43.75
2018-06-27,50.7,41.0
2018-06-28,49.85,39.2
2018-06-29,54.9,40.95
2018-07-02,56.0,41.0
2018-07-03,52.45,40.6
2018-07-04,51.75,40.2
2018-07-05,48.1,39.7
2018-07-06,48.25,40.65
2018-07-09,48.8,42.0
2018-07-10,53.35,41.95
2018-07-11,57.0,40.8
2018-07-12,56.15,40.25
2018-07-13,57.3,39.4
2018-07-16,56.45,37.75
2018-07-17,58.15,39.7
2018-07-18,56.65,38.85
2018-07-19,56.85,39.0
2018-07-20,58.0,38.8
2018-07-23,57.6,39.5
2018-07-24,59.5,40.75
2018-07-25,58.9,40.8
2018-07-26,58.8,43.2
2018-07-27,60.1,43.8
2018-07-30,59.8,45.9
2018-07-31,58.85,45.2
2018-08-01,62.15,45.4
2018-08-02,62.25,44.9
2018-08-03,61.85,45.2
2018-08-06,63.2,44.1
2018-08-07,61.9,41.9
2018-08-08,62.25,41.35
2018-08-09,63.1,42.5
2018-08-10,61.85,41.3
2018-08-13,60.45,39.55
2018-08-14,60.35,38.6
2018-08-16,61.4,37.8
2018-08-17,62.3,38.65
2018-08-20,62.5,39.2
2018-08-21,63.4,39.9
2018-08-23,62.1,39.75
2018-08-24,61.45,39.55
2018-08-27,61.3,39.75
2018-08-28,60.85,38.8
2018-08-29,60.95,39.3
2018-08-30,60.95,40.6
2018-08-31,62.7,40.3
2018-09-03,61.15,41.15
2018-09-04,59.75,38.6
2018-09-05,59.3,38.15
2018-09-06,59.15,37.95
2018-09-07,59.85,38.1
2018-09-10,57.85,36.9
2018-09-11,57.4,36.7
2018-09-12,57.7,36.6
2018-09-14,58.5,38.2
2018-09-17,58.15,39.35
2018-09-18,56.25,37.0
2018-09-19,57.0,36.8
2018-09-21,56.0,34.4
2018-09-24,52.7,33.5
2018-09-25,51.9,33.45
2018-09-26,52.5,33.35
2018-09-27,48.85,32.05
2018-09-28,50.2,30.9
2018-10-01,54.1,31.65
2018-10-03,55.65,32.4
2018-10-04,56.95,32.2
2018-10-05,57.4,31.1
2018-10-08,58.65,30.25
2018-10-09,58.8,29.8
2018-10-10,59.0,31.75
2018-10-11,58.8,30.7
2018-10-12,59.05,31.5
2018-10-15,59.35,32.45
2018-10-16,59.5,33.15
2018-10-17,59.2,32.35
2018-10-19,59.35,31.85
2018-10-22,59.25,31.7
2018-10-23,59.15,31.1
2018-10-24,59.15,31.65
2018-10-25,58.9,31.25
2018-10-26,59.45,31.2
2018-10-29,59.6,33.5
2018-10-30,59.7,35.0
2018-10-31,59.2,34.8
2018-11-01,59.35,34.85
2018-11-02,59.15,34.35
2018-11-05,59.75,34.6
2018-11-06,59.3,34.7
2018-11-07,59.55,34.85
2018-11-09,61.2,35.7
2018-11-12,60.4,34.65
2018-11-13,59.95,34.35
2018-11-14,60.6,34.5
2018-11-15,60.75,35.2
2018-11-16,60.9,35.6
2018-11-19,60.75,36.0
2018-11-20,60.25,35.35
2018-11-21,60.3,35.65
2018-11-22,59.95,35.4
2018-11-26,60.15,35.05
2018-11-27,60.2,35.5
2018-11-28,59.9,34.9
2018-11-29,60.0,34.9
2018-11-30,59.5,34.85
2018-12-03,59.4,35.1
2018-12-04,59.8,34.6
2018-12-05,60.7,33.65
2018-12-06,60.25,32.25
2018-12-07,60.25,31.5
2018-12-10,60.15,30.9
2018-12-11,60.85,31.4
2018-12-12,61.2,33.8
2018-12-13,61.55,33.95
2018-12-14,61.05,34.45
2018-12-17,61.15,34.3
2018-12-18,61.8,35.4
2018-12-19,62.0,37.6
2018-12-20,61.5,37.45
2018-12-21,61.85,37.75
2018-12-24,61.3,37.65
2018-12-26,61.2,37.85
2018-12-27,61.15,38.05
2018-12-28,61.45,39.5
2018-12-31,61.25,39.3
2019-01-01,61.45,39.8
2019-01-02,61.35,39.15
2019-01-03,61.35,38.8
2019-01-04,61.45,40.6
2019-01-07,61.3,39.75
2019-01-08,61.9,41.6
2019-01-09,64.65,40.7
2019-01-10,62.7,40.45
2019-01-11,63.35,39.55
2019-01-14,62.7,39.55
2019-01-15,61.75,39.2
2019-01-16,61.95,39.8
2019-01-17,60.7,39.55
2019-01-18,58.2,37.8
2019-01-21,56.35,37.15
2019-01-22,57.1,36.9
2019-01-23,56.6,35.75
2019-01-24,56.05,35.55
2019-01-25,54.9,34.9
2019-01-28,53.6,34.55
2019-01-29,56.25,35.3
2019-01-30,54.4,36.55
2019-01-31,55.4,36.9
2019-02-01,52.75,37.3
2019-02-04,50.5,36.65
2019-02-05,47.05,35.65
2019-02-06,43.9,35.45
2019-02-07,43.95,35.6
2019-02-08,43.2,33.4
2019-02-11,43.1,32.55
2019-02-12,43.3,32.35
2019-02-13,43.2,31.6
2019-02-14,45.2,32.35
2019-02-15,44.95,31.25
2019-02-18,42.2,30.95
2019-02-19,42.4,31.4
2019-02-20,43.75,32.1
2019-02-21,45.0,33.2
2019-02-22,43.1,33.35
2019-02-25,42.95,33.1
2019-02-26,42.25,32.65
2019-02-27,41.65,33.0
2019-02-28,42.85,33.45
2019-03-01,44.35,35.7
2019-03-05,46.25,37.25
2019-03-06,45.7,36.75
2019-03-07,44.05,37.5
2019-03-08,43.35,37.05
2019-03-11,44.85,38.6
2019-03-12,44.75,38.4
2019-03-13,43.1,38.95
2019-03-14,43.0,38.9
2019-03-15,42.8,38.45
2019-03-18,43.35,39.45
2019-03-19,43.3,39.95
2019-03-20,43.05,40.05
2019-03-22,42.65,38.6
2019-03-25,41.95,38.6
2019-03-26,42.4,40.15
2019-03-27,42.4,40.6
2019-03-28,44.6,42.9
2019-03-29,46.65,43.2
2019-04-01,46.25,44.35
2019-04-02,45.85,45.2
2019-04-03,44.4,43.05
2019-04-04,44.25,43.25
2019-04-05,44.7,42.45
2019-04-08,44.15,41.7
2019-04-09,43.85,42.6
2019-04-10,43.95,41.85
2019-04-11,43.8,41.6
2019-04-12,44.0,42.4
2019-04-15,43.95,41.75
2019-04-16,43.95,41.5
2019-04-18,43.3,40.6
2019-04-22,42.5,39.25
2019-04-23,42.45,38.9
2019-04-24,43.25,39.55
2019-04-25,43.8,39.1
2019-04-26,42.85,40.35
2019-04-30,39.25,38.1
