Date,SYNDIBANK,UNIONBANK
2018-06-18,48.65,90.55
2018-06-19,47.55,90.1
2018-06-20,47.55,89.0
2018-06-21,45.65,86.0
2018-06-22,46.8,85.75
2018-06-25,45.4,82.4
2018-06-26,43.75,83.45
2018-06-27,41.0,81.35
2018-06-28,39.2,79.8
2018-06-29,40.95,81.95
2018-07-02,41.0,81.2
2018-07-03,40.6,80.75
2018-07-04,40.2,79.75
2018-07-05,39.7,79.45
2018-07-06,40.65,81.3
2018-07-09,42.0,81.3
2018-07-10,41.95,81.65
2018-07-11,40.8,78.65
2018-07-12,40.25,78.45
2018-07-13,39.4,76.6
2018-07-16,37.75,74.4
2018-07-17,39.7,80.7
2018-07-18,38.85,76.2
2018-07-19,39.0,76.5
2018-07-20,38.8,76.75
2018-07-23,39.5,78.95
2018-07-24,40.75,81.25
2018-07-25,40.8,81.85
2018-07-26,43.2,85.05
2018-07-27,43.8,85.05
2018-07-30,45.9,88.15
2018-07-31,45.2,86.45
2018-08-01,45.4,88.05
2018-08-02,44.9,86.85
2018-08-03,45.2,88.35
2018-08-06,44.1,90.6
2018-08-07,41.9,86.5
2018-08-08,41.35,85.05
2018-08-09,42.5,89.15
2018-08-10,41.3,85.55
2018-08-13,39.55,84.55
2018-08-14,38.6,85.35
2018-08-16,37.8,84.4
2018-08-17,38.65,86.6
2018-08-20,39.2,88.6
2018-08-21,39.9,88.35
2018-08-23,39.75,88.75
2018-08-24,39.55,86.65
2018-08-27,39.75,89.8
2018-08-28,38.8,85.6
2018-08-29,39.3,87.95
2018-08-30,40.6,90.5
2018-08-31,40.3,89.75
2018-09-03,41.15,90.25
2018-09-04,38.6,84.75
2018-09-05,38.15,83.25
2018-09-06,37.95,82.95
2018-09-07,38.1,83.55
2018-09-10,36.9,81.5
2018-09-11,36.7,80.75
2018-09-12,36.6,81.2
2018-09-14,38.2,83.85
2018-09-17,39.35,82.3
2018-09-18,37.0,74.85
2018-09-19,36.8,78.45
2018-09-21,34.4,73.8
2018-09-24,33.5,72.3
2018-09-25,33.45,70.15
2018-09-26,33.35,70.6
2018-09-27,32.05,67.6
2018-09-28,30.9,65.75
2018-10-01,31.65,69.2
2018-10-03,32.4,68.55
2018-10-04,32.2,68.05
2018-10-05,31.1,66.0
2018-10-08,30.25,66.4
2018-10-09,29.8,65.75
2018-10-10,31.75,71.7
2018-10-11,30.7,68.55
2018-10-12,31.5,69.1
2018-10-15,32.45,68.95
2018-10-16,33.15,71.05
2018-10-17,32.35,66.85
2018-10-19,31.85,64.5
2018-10-22,31.7,62.7
2018-10-23,31.1,62.65
2018-10-24,31.65,63.4
2018-10-25,31.25,63.65
2018-10-26,31.2,62.15
2018-10-29,33.5,69.7
2018-10-30,35.0,75.8
2018-10-31,34.8,76.65
2018-11-01,34.85,77.35
2018-11-02,34.35,75.75
2018-11-05,34.6,79.45
2018-11-06,34.7,78.95
2018-11-07,34.85,79.3
2018-11-09,35.7,81.85
2018-11-12,34.65,78.55
2018-11-13,34.35,79.9
2018-11-14,34.5,80.65
2018-11-15,35.2,81.6
2018-11-16,35.6,82.6
2018-11-19,36.0,81.75
2018-11-20,35.35,79.95
2018-11-21,35.65,82.15
2018-11-22,35.4,80.3
2018-11-26,35.05,80.05
2018-11-27,35.5,81.7
2018-11-28,34.9,79.4
2018-11-29,34.9,79.8
2018-11-30,34.85,78.55
2018-12-03,35.1,80.75
2018-12-04,34.6,79.05
2018-12-05,33.65,76.15
2018-12-06,32.25,73.55
2018-12-07,31.5,73.0
2018-12-10,30.9,71.55
2018-12-11,31.4,73.4
2018-12-12,33.8,77.05
2018-12-13,33.95,77.2
2018-12-14,34.45,77.8
2018-12-17,34.3,77.85
2018-12-18,35.4,80.45
2018-12-19,37.6,83.1
2018-12-20,37.45,82.45
2018-12-21,37.75,82.4
2018-12-24,37.65,83.05
2018-12-26,37.85,83.5
2018-12-27,38.05,83.9
2018-12-28,39.5,85.95
2018-12-31,39.3,85.9
2019-01-01,39.8,88.3
2019-01-02,39.15,88.2
2019-01-03,38.8,88.75
2019-01-04,40.6,92.25
2019-01-07,39.75,90.6
2019-01-08,41.6,94.55
2019-01-09,40.7,92.0
2019-01-10,40.45,92.8
2019-01-11,39.55,93.65
2019-01-14,39.55,94.25
2019-01-15,39.2,94.15
2019-01-16,39.8,96.2
2019-01-17,39.55,94.85
2019-01-18,37.8,92.5
2019-01-21,37.15,86.3
2019-01-22,36.9,83.95
2019-01-23,35.75,82.75
2019-01-24,35.55,82.5
2019-01-25,34.9,79.45
2019-01-28,34.55,78.4
2019-01-29,35.3,80.05
2019-01-30,36.55,81.2
2019-01-31,36.9,82.75
2019-02-01,37.3,81.45
2019-02-04,36.65,79.45
2019-02-05,35.65,78.15
2019-02-06,35.45,79.4
2019-02-07,35.6,78.8
2019-02-08,33.4,72.5
2019-02-11,32.55,72.15
2019-02-12,32.35,70.4
2019-02-13,31.6,69.4
2019-02-14,32.35,70.95
2019-02-15,31.25,68.65
2019-02-18,30.95,67.95
2019-02-19,31.4,68.5
2019-02-20,32.1,69.65
2019-02-21,33.2,71.55
2019-02-22,33.35,71.2
2019-02-25,33.1,71.25
2019-02-26,32.65,69.7
2019-02-27,33.0,70.1
2019-02-28,33.45,71.65
2019-03-01,35.7,77.15
2019-03-05,37.25,80.65
2019-03-06,36.75,79.25
2019-03-07,37.5,79.95
2019-03-08,37.05,78.1
2019-03-11,38.6,82.7
2019-03-12,38.4,82.7
2019-03-13,38.95,82.6
2019-03-14,38.9,82.8
2019-03-15,38.45,82.9
2019-03-18,39.45,83.75
2019-03-19,39.95,87.65
2019-03-20,40.05,88.45
2019-03-22,38.6,86.85
2019-03-25,38.6,87.4
2019-03-26,40.15,91.55
2019-03-27,40.6,93.8
2019-03-28,42.9,96.95
2019-03-29,43.2,95.6
2019-04-01,44.35,96.4
2019-04-02,45.2,98.8
2019-04-03,43.05,94.8
2019-04-04,43.25,92.35
2019-04-05,42.45,93.0
2019-04-08,41.7,92.25
2019-04-09,42.6,94.7
2019-04-10,41.85,93.6
2019-04-11,41.6,93.25
2019-04-12,42.4,93.5
2019-04-15,41.75,92.7
2019-04-16,41.5,92.3
2019-04-18,40.6,91.0
2019-04-22,39.25,86.85
2019-04-23,38.9,88.1
2019-04-24,39.55,89.1
2019-04-25,39.1,87.65
2019-04-26,40.35,88.05
2019-04-30,38.0,83.75
