Date,UNIONBANK,PNB
2018-06-18,90.55,88.5
2018-06-19,90.1,86.8
2018-06-20,89.0,86.2
2018-06-21,86.0,83.4
2018-06-22,85.75,81.9
2018-06-25,82.4,79.8
2018-06-26,83.45,79.85
2018-06-27,81.35,76.75
2018-06-28,79.8,72.8
2018-06-29,81.95,76.15
2018-07-02,81.2,78.15
2018-07-03,80.75,77.15
2018-07-04,79.75,76.1
2018-07-05,79.45,75.55
2018-07-06,81.3,76.95
2018-07-09,81.3,77.8
2018-07-10,81.65,77.85
2018-07-11,78.65,75.55
2018-07-12,78.45,76.1
2018-07-13,76.6,73.85
2018-07-16,74.4,73.85
2018-07-17,80.7,78.7
2018-07-18,76.2,75.2
2018-07-19,76.5,75.3
2018-07-20,76.75,75.55
2018-07-23,78.95,78.95
2018-07-24,81.25,79.3
2018-07-25,81.85,79.25
2018-07-26,85.05,80.85
2018-07-27,85.05,82.0
2018-07-30,88.15,85.9
2018-07-31,86.45,85.1
2018-08-01,88.05,87.4
2018-08-02,86.85,85.15
2018-08-03,88.35,88.15
2018-08-06,90.6,90.05
2018-08-07,86.5,82.85
2018-08-08,85.05,80.45
2018-08-09,89.15,83.4
2018-08-10,85.55,83.25
2018-08-13,84.55,80.4
2018-08-14,85.35,79.9
2018-08-16,84.4,81.55
2018-08-17,86.6,83.45
2018-08-20,88.6,84.2
2018-08-21,88.35,83.65
2018-08-23,88.75,84.5
2018-08-24,86.65,85.8
2018-08-27,89.8,85.25
2018-08-28,85.6,82.9
2018-08-29,87.95,84.15
2018-08-30,90.5,85.1
2018-08-31,89.75,88.15
2018-09-03,90.25,86.35
2018-09-04,84.75,83.15
2018-09-05,83.25,83.1
2018-09-06,82.95,83.25
2018-09-07,83.55,84.4
2018-09-10,81.5,82.7
2018-09-11,80.75,81.7
2018-09-12,81.2,81.15
2018-09-14,83.85,82.8
2018-09-17,82.3,83.0
2018-09-18,74.85,79.3
2018-09-19,78.45,79.25
2018-09-21,73.8,72.85
2018-09-24,72.3,69.2
2018-09-25,70.15,66.95
2018-09-26,70.6,67.05
2018-09-27,67.6,62.5
2018-09-28,65.75,59.7
2018-10-01,69.2,63.2
2018-10-03,68.55,64.65
2018-10-04,68.05,64.8
2018-10-05,66.0,63.85
2018-10-08,66.4,62.85
2018-10-09,65.75,62.65
2018-10-10,71.7,66.3
2018-10-11,68.55,64.3
2018-10-12,69.1,66.5
2018-10-15,68.95,67.55
2018-10-16,71.05,69.95
2018-10-17,66.85,66.5
2018-10-19,64.5,66.0
2018-10-22,62.7,65.7
2018-10-23,62.65,64.75
2018-10-24,63.4,65.8
2018-10-25,63.65,65.65
2018-10-26,62.15,66.15
2018-10-29,69.7,70.9
2018-10-30,75.8,72.55
2018-10-31,76.65,73.65
2018-11-01,77.35,74.3
2018-11-02,75.75,69.05
2018-11-05,79.45,70.4
2018-11-06,78.95,70.6
2018-11-07,79.3,70.95
2018-11-09,81.85,71.65
2018-11-12,78.55,70.5
2018-11-13,79.9,70.0
2018-11-14,80.65,70.75
2018-11-15,81.6,71.15
2018-11-16,82.6,73.2
2018-11-19,81.75,73.3
2018-11-20,79.95,71.3
2018-11-21,82.15,72.7
2018-11-22,80.3,71.7
2018-11-26,80.05,71.25
2018-11-27,81.7,72.45
2018-11-28,79.4,69.6
2018-11-29,79.8,69.65
2018-11-30,78.55,69.9
2018-12-03,80.75,71.45
2018-12-04,79.05,69.55
2018-12-05,76.15,68.95
2018-12-06,73.55,66.1
2018-12-07,73.0,66.0
2018-12-10,71.55,64.85
2018-12-11,73.4,68.7
2018-12-12,77.05,70.8
2018-12-13,77.2,71.35
2018-12-14,77.8,72.65
2018-12-17,77.85,72.85
2018-12-18,80.45,74.25
2018-12-19,83.1,76.95
2018-12-20,82.45,76.1
2018-12-21,82.4,76.35
2018-12-24,83.05,76.7
2018-12-26,83.5,77.75
2018-12-27,83.9,77.95
2018-12-28,85.95,78.45
2018-12-31,85.9,78.1
2019-01-01,88.3,79.8
2019-01-02,88.2,77.85
2019-01-03,88.75,77.85
2019-01-04,92.25,81.3
2019-01-07,90.6,80.55
2019-01-08,94.55,81.7
2019-01-09,92.0,80.7
2019-01-10,92.8,81.25
2019-01-11,93.65,80.65
2019-01-14,94.25,82.5
2019-01-15,94.15,81.95
2019-01-16,96.2,84.25
2019-01-17,94.85,84.55
2019-01-18,92.5,82.85
2019-01-21,86.3,80.25
2019-01-22,83.95,78.6
2019-01-23,82.75,77.75
2019-01-24,82.5,78.1
2019-01-25,79.45,76.6
2019-01-28,78.4,76.1
2019-01-29,80.05,77.3
2019-01-30,81.2,77.25
2019-01-31,82.75,77.5
2019-02-01,81.45,73.9
2019-02-04,79.45,73.15
2019-02-05,78.15,73.4
2019-02-06,79.4,75.2
2019-02-07,78.8,75.65
2019-02-08,72.5,71.2
2019-02-11,72.15,70.85
2019-02-12,70.4,71.35
2019-02-13,69.4,69.45
2019-02-14,70.95,72.25
2019-02-15,68.65,70.05
2019-02-18,67.95,69.0
2019-02-19,68.5,69.95
2019-02-20,69.65,71.1
2019-02-21,71.55,73.15
2019-02-22,71.2,73.2
2019-02-25,71.25,73.5
2019-02-26,69.7,71.85
2019-02-27,70.1,71.5
2019-02-28,71.65,72.3
2019-03-01,77.15,76.65
2019-03-05,80.65,82.65
2019-03-06,79.25,82.4
2019-03-07,79.95,85.45
2019-03-08,78.1,83.8
2019-03-11,82.7,85.85
2019-03-12,82.7,85.4
2019-03-13,82.6,84.85
2019-03-14,82.8,84.45
2019-03-15,82.9,86.05
2019-03-18,83.75,86.65
2019-03-19,87.65,90.5
2019-03-20,88.45,93.55
2019-03-22,86.85,91.55
2019-03-25,87.4,90.3
2019-03-26,91.55,92.5
2019-03-27,93.8,93.4
2019-03-28,96.95,95.35
2019-03-29,95.6,95.5
2019-04-01,96.4,97.5
2019-04-02,98.8,98.3
2019-04-03,94.8,94.45
2019-04-04,92.35,93.65
2019-04-05,93.0,93.1
2019-04-08,92.25,93.1
2019-04-09,94.7,94.35
2019-04-10,93.6,93.35
2019-04-11,93.25,92.7
2019-04-12,93.5,93.35
2019-04-15,92.7,93.85
2019-04-16,92.3,92.8
2019-04-18,91.0,90.05
2019-04-22,86.85,86.65
2019-04-23,88.1,87.2
2019-04-24,89.1,88.35
2019-04-25,87.65,86.75
2019-04-26,88.05,88.15
2019-04-29,87.95,88.25
